Molecule,Basis Set,cuEST 2e run 1,cuEST 2e run 2,cuEST 2e run 3,cuEST Exc run 1,cuEST Exc run 2,cuEST Exc run 3,cuEST total run 1,cuEST total run 2,cuEST total run 3,cuEST scf run 1,cuEST scf run 2,cuEST scf run 3,2e gradient run 1,2e gradient run 2,2e gradient run 3,exc gradient run 1,exc gradient run 2,exc gradient run 3,total gradient run 1,total gradient run 2,total gradient run 3,TOTAL ENERGY,Peak Device Memory,Total Device Memory
morphine,3-21G,0.223740000,0.223941000,,1.333069000,1.333163000,,9.439309000,5.839084000,,1.680824000,1.671716000,,0.264632000,0.264201000,,0.261348000,0.262047000,,0.695268000,0.694496000,,,,
morphine,6-31G,0.524438000,0.526568000,,1.844472000,1.844059000,,7.575906000,7.346461000,,2.510347000,2.510820000,,0.672130000,0.667388000,,0.372736000,0.374119000,,1.331899000,1.328350000,,,,
morphine,6-31G*,1.749106000,1.755824000,,3.478844000,3.478758000,,14.541873000,13.619988000,,5.522044000,5.521719000,,3.258734000,3.254957000,,0.689262000,0.688407000,,4.523097000,4.520659000,,,,
morphine,6-31G**,2.215711000,2.216088000,,3.681701000,3.681441000,,15.329788000,15.210160000,,6.261562000,6.263507000,,3.948595000,4.018664000,,0.721854000,0.704795000,,5.332021000,5.384393000,,,,
morphine,6-31+G**,5.697942000,5.702422000,,8.524968000,8.521310000,,30.287856000,30.148635000,,14.768393000,14.754596000,,9.128878000,9.168043000,,1.696804000,1.694234000,,11.771216000,11.807052000,,,,
morphine,def2-SV(P),1.503445000,1.503158000,,3.626281000,3.623196000,,13.160296000,12.992043000,,5.407513000,5.406235000,,2.831674000,2.842203000,,0.676096000,0.676024000,,4.033724000,4.044654000,,,,
morphine,def2-SVP,1.958889000,1.953123000,,4.073316000,4.074785000,,15.311830000,14.916408000,,6.382054000,6.383337000,,3.669291000,3.632633000,,0.749658000,0.727704000,,5.040289000,4.981402000,,,,
morphine,def2-TZVP,394.439359000,393.735715000,,20.714947000,20.499307000,,1048.575844000,1053.362758000,,417.408309000,416.429190000,,614.290900000,620.211571000,,3.215688000,3.235587000,,623.741752000,629.699285000,,,,
morphine,def2-TZVPP,560.210663000,,,24.134411000,,,1484.730162000,,,587.183619000,,,876.900990000,,,3.618864000,,,888.332197000,,,,,
morphine,def2-TZVPD,1044.112360000,,,37.937927000,,,3294.427834000,,,1084.964898000,,,2179.309405000,,,8.335301000,,,2197.570581000,,,,,
taxol,3-21G,2.361887000,2.337552000,2.318655000,4.372958000,4.324895000,4.120157000,18.845207000,17.628896000,17.945793000,7.508619000,7.434431000,7.667491000,2.075384000,2.069114000,2.126159000,0.806286000,0.806956000,0.899496000,3.609061000,3.624125000,3.785133000,,,
taxol,6-31G,5.044720000,5.115246000,5.094792000,6.254327000,6.167797000,6.241899000,25.838396000,26.060525000,25.832172000,12.163170000,12.166196000,12.231632000,5.638566000,5.659238000,5.664512000,1.033586000,1.046109000,1.297435000,7.859587000,7.910399000,8.157443000,,,
taxol,6-31G*,15.296836000,15.322448000,15.359468000,9.081917000,9.139420000,9.152044000,59.211108000,59.838274000,58.687331000,25.851877000,25.947052000,26.023648000,23.105137000,23.229166000,23.195819000,1.606566000,1.649653000,1.641505000,27.066993000,27.282658000,27.227423000,,,
taxol,6-31G**,19.299914000,19.433144000,19.373686000,9.734634000,9.813333000,9.823647000,69.298206000,69.860476000,70.052559000,30.802719000,31.028495000,30.976256000,28.333262000,28.401991000,28.451926000,1.706577000,1.730493000,2.188587000,32.716034000,32.848144000,33.346077000,,,
taxol,6-31+G**,108.949770000,109.220653000,109.104404000,43.371749000,43.404491000,42.938153000,303.555921000,303.783431000,303.759796000,155.295906000,155.627382000,155.083463000,129.170007000,129.044386000,129.041856000,6.782661000,6.769131000,6.768725000,140.917835000,140.820986000,140.855940000,,,
taxol,def2-SV(P),13.814090000,13.850499000,13.802464000,10.125893000,10.120519000,10.131388000,54.944829000,54.895677000,55.000874000,25.391717000,25.446057000,25.422242000,20.039322000,19.953609000,20.055067000,1.776526000,1.783569000,1.887572000,24.032692000,23.962635000,24.190581000,,,
taxol,def2-SVP,18.269568000,18.273324000,18.291707000,11.368923000,11.381280000,11.399429000,67.322906000,67.146946000,67.162746000,31.377711000,31.446845000,31.470091000,25.642752000,25.562402000,25.563525000,1.954656000,1.947161000,1.952417000,30.211086000,30.162067000,30.183582000,,,
