Molecule,Basis Set,cuEST 2e run 1,cuEST 2e run 2,cuEST 2e run 3,cuEST Exc run 1,cuEST Exc run 2,cuEST Exc run 3,cuEST total run 1,cuEST total run 2,cuEST total run 3,cuEST scf run 1,cuEST scf run 2,cuEST scf run 3,TOTAL ENERGY,Peak Device Memory,Total Device Memory
morphine,3-21G,0.013909000,0.013909000,0.013930000,0.476544000,0.476675000,0.476979000,1.775686000,1.733142000,1.733229000,0.606570000,0.607580000,0.608067000,-934.056161213,2.25 GB,
morphine,6-31G,0.015360000,0.015322000,0.015269000,0.544951000,0.543556000,0.542342000,1.865608000,1.856729000,1.851099000,0.685418000,0.683128000,0.681971000,-938.963290159,2.27 GB,
morphine,6-31G*,0.028266000,0.028304000,0.028271000,0.943381000,0.939127000,0.938326000,2.632587000,2.625376000,2.625969000,1.241764000,1.237686000,1.237074000,-939.209868433,2.57 GB,
morphine,6-31G**,0.034221000,0.034232000,0.034206000,1.083769000,1.079679000,1.079614000,2.898292000,2.881679000,2.888280000,1.420592000,1.416369000,1.417435000,-939.245099027,2.70 GB,
morphine,6-31+G**,0.051412000,0.051439000,0.051406000,1.638180000,1.632289000,1.632985000,3.807079000,3.790325000,3.795977000,2.103705000,2.094216000,2.097419000,-939.287826520,3.09 GB,
morphine,def2-SV(P),0.029996000,0.030027000,0.030064000,1.023463000,1.019396000,1.019419000,2.714812000,2.712857000,2.708065000,1.341943000,1.336722000,1.336029000,-938.525044322,2.58 GB,
morphine,def2-SVP,0.036740000,0.036787000,0.036831000,1.229712000,1.224939000,1.225607000,3.058821000,3.053450000,3.053153000,1.595995000,1.590592000,1.590802000,-938.571698234,2.72 GB,
morphine,def2-TZVP,0.140352000,0.140731000,0.140532000,3.911309000,3.893796000,3.897770000,9.870900000,9.851349000,9.849887000,5.570848000,5.550839000,5.547846000,-939.606218282,5.06 GB,
morphine,def2-TZVPP,0.191927000,0.191292000,0.191703000,4.818663000,4.804730000,4.801017000,12.386293000,12.364828000,12.365572000,7.002902000,6.980485000,6.977967000,-939.615142034,6.06 GB,
morphine,def2-TZVPD,0.217441000,0.216556000,0.216932000,5.752809000,5.751791000,5.750667000,14.934114000,14.948377000,14.931388000,7.911205000,7.910702000,7.905171000,-939.611491286,7.17 GB,
taxol,3-21G,0.118731000,0.118755000,0.118748000,2.792090000,2.795498000,2.795468000,8.274052000,8.281336000,8.279637000,3.623738000,3.626663000,3.627253000,-2910.056740811,4.76 GB,
taxol,6-31G,0.140352000,0.133070000,0.133148000,3.911309000,3.444889000,3.439572000,9.870900000,9.622112000,9.616951000,5.570848000,4.299081000,4.291366000,-939.606218282,5.06 GB,
taxol,6-31G*,0.284645000,0.284362000,0.285183000,5.902937000,5.900470000,5.901271000,15.749938000,15.737374000,15.738851000,7.978233000,7.967661000,7.964956000,-2926.098124095,9.94 GB,
